Wall time,Step,Value
1774905414.729044,1,2.766645908355713
1774905495.0987399,2,2.7637460231781006
1774905574.766073,3,2.760931968688965
1774905654.009355,4,2.757951259613037
1774905733.529363,5,2.7552735805511475
1774905825.7522812,6,0.3717346787452698
1774905903.9203148,7,0.3732132315635681
1774905981.734494,8,0.372224897146225
1774906059.682385,9,0.37288445234298706
1774906141.371029,10,0.3770075738430023
1774906252.8315022,11,1.3489736318588257
1774906333.736183,12,1.3615623712539673
1774906416.622315,13,1.3540486097335815
1774906500.948888,14,1.3382494449615479
1774906582.564949,15,1.344757318496704
1774906702.1558762,16,1.2930500507354736
1774906783.734498,17,1.3079123497009277
1774906869.428828,18,1.2896639108657837
1774906951.268028,19,1.2900354862213135
1774907036.02695,20,1.284714937210083
1774907149.244531,21,1.2230979204177856
1774907226.296035,22,1.2165327072143555
1774907303.397551,23,1.2229762077331543
1774907380.802283,24,1.2133421897888184
1774907458.651414,25,1.2185993194580078
1774907572.941747,26,1.1450965404510498
1774907654.128004,27,1.139175534248352
1774907737.555466,28,1.150975227355957
1774907819.3439841,29,1.145599365234375
1774907899.36381,30,1.136896014213562
1774908013.6799822,31,1.151057481765747
1774908092.303047,32,1.1402209997177124
1774908169.8364959,33,1.1457301378250122
1774908248.553267,34,1.1477421522140503
1774908328.6313338,35,1.1517724990844727
1774908445.603881,36,1.0889668464660645
1774908523.7552571,37,1.090173602104187
1774908604.2371871,38,1.0941033363342285
1774908685.701012,39,1.0886847972869873
1774908765.1980438,40,1.0803757905960083
1774908881.6047869,41,1.0970367193222046
1774908958.586863,42,1.1076160669326782
1774909038.088117,43,1.0924137830734253
1774909118.514653,44,1.1049751043319702
1774909198.147337,45,1.088856816291809
1774909313.18495,46,1.0813283920288086
1774909393.025939,47,1.0806971788406372
1774909475.843393,48,1.0974165201187134
1774909557.1008599,49,1.0751068592071533
1774909639.531898,50,1.0867639780044556
1774909756.568427,51,1.019132375717163
1774909838.2334578,52,1.0208479166030884
1774909917.546984,53,1.014436960220337
1774909997.5543602,54,1.0134503841400146
1774910077.390979,55,1.0128352642059326
1774910193.5311072,56,0.9963788986206055
1774910272.5501618,57,0.9970787167549133
1774910354.6261902,58,0.993553638458252
1774910433.245882,59,1.0084218978881836
1774910514.677629,60,1.0026737451553345
1774910634.4697769,61,1.0156437158584595
1774910716.191166,62,1.0100390911102295
1774910797.78453,63,1.0135798454284668
1774910880.0293682,64,1.0046449899673462
1774910960.4837928,65,1.0136454105377197
1774911074.079385,66,0.9990234971046448
1774911153.0058,67,0.9933420419692993
1774911235.1422012,68,0.9851068258285522
1774911317.532633,69,1.0061445236206055
1774911399.127172,70,1.0018773078918457
1774911516.678258,71,0.9940561652183533
1774911596.322019,72,1.0090748071670532
1774911679.281227,73,0.9995518922805786
1774911758.40137,74,1.0054001808166504
1774911839.244329,75,0.9926639795303345
1774911957.577991,76,0.9872433543205261
1774912037.04758,77,0.9813812971115112
1774912115.655394,78,0.9873257279396057
1774912196.619801,79,0.9723226428031921
1774912278.444563,80,0.9823492765426636
1774912394.117811,81,0.9503792524337769
