2025-12-02 15:54:12,140 INFO    MainThread:1063250 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_setup.py:_flush():80] Configure stats pid to 1063250
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_setup.py:_flush():80] Loading settings from /mnt/home/zz564/.config/wandb/settings
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_setup.py:_flush():80] Loading settings from /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/settings
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/run-20251202_155412-exhgz8bs/logs/debug.log
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /mnt/home/zz564/LLMOR/llm-darp/ppo_loop/wandb/run-20251202_155412-exhgz8bs/logs/debug-internal.log
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_init.py:init():840] calling init triggers
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'num_envs': 2, 'total_episodes': 100, 'customers_per_episode': 30, 'device': 'cpu', '_wandb': {}}
2025-12-02 15:54:12,141 INFO    MainThread:1063250 [wandb_init.py:init():888] starting backend
2025-12-02 15:54:12,858 INFO    MainThread:1063250 [wandb_init.py:init():891] sending inform_init request
2025-12-02 15:54:12,916 INFO    MainThread:1063250 [wandb_init.py:init():899] backend started and connected
2025-12-02 15:54:12,930 INFO    MainThread:1063250 [wandb_init.py:init():969] updated telemetry
2025-12-02 15:54:13,046 INFO    MainThread:1063250 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-02 15:54:13,651 INFO    MainThread:1063250 [wandb_init.py:init():1040] starting run threads in backend
2025-12-02 15:54:15,486 INFO    MainThread:1063250 [wandb_run.py:_console_start():2504] atexit reg
2025-12-02 15:54:15,486 INFO    MainThread:1063250 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-02 15:54:15,486 INFO    MainThread:1063250 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-02 15:54:15,486 INFO    MainThread:1063250 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-02 15:54:15,508 INFO    MainThread:1063250 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-02 15:55:50,641 INFO    wandb-AsyncioManager-main:1063250 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-02 15:55:50,643 INFO    wandb-AsyncioManager-main:1063250 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
